Name,Record,Height,Weight,Reach,Stance,DOB,SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Zarrukh Adashev,4-4-0,"5' 5""",125 lbs.,"65""",Southpaw,"Jul 29, 1992",3.65,40%,3.04,64%,0.00,0%,100%,0.5
Israel Adesanya,24-2-0,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989",3.94,49%,2.88,57%,0.06,14%,77%,0.2
Sam Adkins,7-20-2,"6' 3""",225 lbs.,--,Orthodox,"Apr 26, 1965",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Nick Agallar,24-6-0,"5' 8""",155 lbs.,--,Orthodox,"Jan 13, 1979",0.69,11%,4.56,42%,0.00,0%,0%,0.0
Mariya Agapova,10-4-0,"5' 6""",125 lbs.,"68""",Southpaw,"Apr 07, 1997",4.67,55%,3.82,52%,0.59,66%,47%,0.9
Marcelo Aguiar,2-3-1,"5' 10""",170 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Fabio Aguiar,17-1-0,"6' 0""",185 lbs.,--,,"Feb 10, 1988",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Edwin Aguilar,26-19-0 (1 NC),"5' 10""",185 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jessica Aguilar,20-8-0,"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982",4.93,50%,7.19,53%,0.94,25%,50%,0.2
Kevin Aguilar,17-5-0,"5' 7""",155 lbs.,"73""",Orthodox,"Sep 07, 1988",3.96,40%,4.81,52%,0.16,16%,78%,0.0
Jesus Aguilar,8-2-0,"5' 4""",125 lbs.,"62""",Orthodox,"Mar 13, 1996",1.60,48%,0.92,65%,2.77,37%,0%,1.8
Christian Aguilera,14-8-0,"5' 9""",170 lbs.,"72""",Switch,"Nov 25, 1991",2.54,37%,4.04,48%,0.00,0%,60%,0.0
Nick Aguirre,7-1-0,"5' 9""",145 lbs.,"74""",Southpaw,"Jan 15, 1996",0.93,31%,3.13,44%,0.00,0%,33%,1.0
Mike Aina,14-6-1 (1 NC),"5' 9""",155 lbs.,--,Orthodox,--,2.87,33%,6.33,59%,0.00,0%,71%,0.0
Ashiek Ajim,6-2-0,"5' 8""",135 lbs.,"71""",Switch,"Jun 19, 1994",5.00,40%,11.25,25%,0.00,0%,0%,0.0
Hitomi Akano,18-10-0,"5' 4""",135 lbs.,--,Southpaw,"Jul 27, 1974",0.59,45%,2.58,55%,0.00,0%,8%,0.5
Omari Akhmedov,21-6-1,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987",2.97,34%,2.84,55%,2.58,45%,65%,0.2
Yoshihiro Akiyama,14-6-0 (2 NC),"5' 10""",170 lbs.,"75""",Orthodox,"Jul 29, 1975",3.10,41%,3.62,57%,2.29,67%,92%,1.0
Rostem Akman,6-2-0,"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991",1.80,25%,3.97,57%,1.00,40%,87%,0.0
Razak Al-Hassan,13-5-0,"6' 2""",205 lbs.,--,Orthodox,"May 14, 1982",3.27,39%,3.14,60%,0.65,14%,57%,0.0
Mostapha Al-Turk,6-6-0,"6' 2""",245 lbs.,"77""",Orthodox,"Jul 14, 1973",1.36,19%,3.61,53%,0.00,0%,0%,0.0
Herdem Alacabek,5-1-0,"6' 2""",205 lbs.,"75""",Orthodox,"Jun 07, 1991",3.84,65%,6.66,23%,2.06,50%,42%,0.0
Javi Alanis,0-4-0,"5' 6""",135 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
 Alatengheili,16-8-2,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991",2.94,33%,4.58,61%,1.78,39%,72%,0.0
Amir Albazi,16-1-0,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993",3.54,43%,2.47,61%,2.47,50%,66%,0.8
Brett Albee,3-2-0,--,225 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
John Albert,6-5-0,"5' 8""",135 lbs.,"68""",Orthodox,"Oct 13, 1986",3.05,49%,2.82,35%,0.00,0%,50%,6.1
Junior Albini,14-6-0,"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991",3.98,51%,6.08,52%,1.54,37%,100%,0.0
Wes Albritton,0-1-0,"5' 10""",188 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Aleksandra Albu,3-2-0,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990",4.83,47%,5.56,38%,2.27,50%,77%,0.4
Israel Albuquerque,0-3-0,--,185 lbs.,--,Orthodox,--,0.32,13%,3.34,25%,0.00,0%,0%,0.0
Juan Alcain,1-2-0,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Iuri Alcantara,35-10-0 (1 NC),"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980",2.72,45%,2.79,49%,1.44,62%,60%,0.8
Ildemar Alcantara,21-11-0,"6' 2""",185 lbs.,"78""",Orthodox,"Nov 18, 1982",1.93,38%,2.63,50%,2.00,68%,81%,0.9
Alfonso Alcarez,1-3-1,"5' 3""",145 lbs.,--,,"Jun 10, 1970",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Gilbert Aldana,6-2-0,"6' 1""",250 lbs.,--,Orthodox,"Aug 25, 1977",2.91,54%,6.26,26%,2.57,40%,33%,0.0
Irene Aldana,14-6-0,"5' 9""",135 lbs.,"68""",Orthodox,"Mar 26, 1988",5.39,39%,5.71,60%,0.20,50%,81%,0.3
Hector Aldana,4-3-0,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988",3.59,38%,5.08,59%,0.93,100%,0%,0.0
Jose Alday,14-6-1,"5' 7""",135 lbs.,"68""",Orthodox,"Sep 14, 1991",3.13,44%,3.13,58%,0.00,0%,57%,0.0
Jose Aldo,31-8-0,"5' 7""",135 lbs.,"70""",Orthodox,"Sep 09, 1986",3.57,46%,3.74,60%,0.49,54%,91%,0.1
JJ Aldrich,11-6-0,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 29, 1992",3.98,45%,4.74,59%,0.82,25%,70%,0.0
Irina Alekseeva,5-1-0,"5' 8""",135 lbs.,"67""",Orthodox,"Jun 27, 1990",8.24,40%,4.12,62%,0.00,0%,0%,6.9
Jim Alers,13-3-0 (1 NC),"5' 9""",145 lbs.,"71""",Orthodox,"Oct 14, 1986",2.90,40%,4.38,56%,2.26,41%,80%,0.3
John Alessio,35-17-0 (2 NC),"5' 10""",155 lbs.,"72""",Orthodox,"Jul 05, 1979",2.10,39%,2.91,54%,1.85,38%,70%,1.2
Houston Alexander,17-15-1 (2 NC),"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972",3.06,54%,3.20,52%,1.19,57%,33%,0.0
Kenneth Alexander,7-6-0 (1 NC),"5' 9""",155 lbs.,--,Orthodox,"Sep 25, 1977",0.88,19%,2.20,66%,4.71,26%,0%,0.0
Lucas Alexander,8-3-0,"5' 11""",145 lbs.,"73""",Orthodox,"Jul 28, 1995",5.05,53%,1.76,72%,0.00,0%,66%,0.0
Marcio Alexandre Junior,17-4-0,"6' 0""",185 lbs.,"75""",Southpaw,"May 05, 1989",1.61,45%,2.89,42%,0.35,20%,66%,0.7
Olaf Alfonso,8-12-0,"6' 2""",170 lbs.,--,Orthodox,"Aug 06, 1974",1.65,38%,4.77,53%,0.37,7%,22%,0.7
Pablo Alfonso,9-7-0,"5' 8""",145 lbs.,--,,"May 09, 1983",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Levi Alford,1-7-0,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Bill Algeo,17-7-0,"6' 0""",145 lbs.,"73""",Switch,"Jun 09, 1989",5.93,53%,4.32,46%,0.87,42%,55%,0.1
Royce Alger,3-2-0,"5' 10""",199 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Amir Aliakbari,10-1-0,"6' 3""",250 lbs.,--,,"Jun 10, 1984",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Sultan Aliev,15-3-0,"5' 11""",170 lbs.,"74""",Orthodox,"Sep 17, 1984",1.41,45%,2.20,56%,1.76,38%,100%,0.0
Nurullo Aliev,9-0-0,"5' 10""",155 lbs.,"72""",Orthodox,"Dec 08, 2000",2.50,51%,0.46,59%,3.06,44%,0%,0.0
Ikram Aliskerov,14-1-0,"6' 0""",185 lbs.,"76""",Southpaw,"Dec 07, 1992",6.25,60%,7.88,40%,3.47,33%,0%,3.5
Leon Aliu,10-2-0,"6' 0""",185 lbs.,"74""",Orthodox,"Jul 14, 1989",6.32,50%,10.11,38%,0.00,0%,0%,0.0
John Allan,13-7-0 (1 NC),"6' 1""",205 lbs.,"75""",Orthodox,"Feb 22, 1993",3.56,42%,5.74,52%,1.40,71%,50%,0.8
George Allen,13-19-2,"6' 2""",205 lbs.,--,Open Stance,"Jan 13, 1967",0.80,38%,3.10,43%,0.00,0%,50%,0.0
Arnold Allen,19-2-0,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",3.34,40%,2.86,61%,1.12,50%,76%,0.3
Brendan Allen,21-5-0,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 28, 1995",3.85,53%,3.87,46%,1.27,47%,55%,1.6
Ben Alloway,18-8-0,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 19, 1981",1.28,49%,1.90,59%,0.62,50%,26%,0.0
Assu Almabayev,17-2-0,--,125 lbs.,--,,"Jan 25, 1994",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ricardo Almeida,13-5-0,"6' 0""",170 lbs.,"74""",Orthodox,"Nov 29, 1976",2.02,49%,1.20,61%,3.74,38%,31%,1.2
Magno Almeida,10-3-0 (1 NC),"6' 0""",155 lbs.,--,,"Jun 06, 1985",1.67,36%,2.60,41%,0.00,0%,40%,5.0
Thomas Almeida,22-5-0,"5' 7""",145 lbs.,"70""",Southpaw,"Jul 31, 1991",4.84,43%,4.93,61%,0.17,14%,75%,0.0
Ericka Almeida,7-3-0,"5' 6""",115 lbs.,--,Orthodox,"Mar 05, 1989",1.07,39%,3.33,43%,0.50,33%,37%,0.0
Estefani Almeida,7-3-0,"5' 4""",125 lbs.,--,Orthodox,"Oct 17, 1988",3.13,37%,6.07,42%,0.00,0%,0%,0.0
Jailton Almeida,19-2-0,"6' 3""",205 lbs.,"79""",Orthodox,"Jun 26, 1991",3.81,64%,0.30,25%,6.40,68%,50%,2.5
Lucas Almeida,14-1-0,"5' 11""",145 lbs.,"71""",Orthodox,"Jan 31, 1991",6.60,47%,5.63,48%,0.00,0%,50%,0.0
Cesar Almeida,3-0-0,--,185 lbs.,--,,"Mar 23, 1988",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Mauricio Alonso,13-7-0 (1 NC),"6' 2""",170 lbs.,--,,"Feb 27, 1980",5.74,34%,1.91,67%,0.00,0%,0%,0.0
Sarah Alpar,9-6-0,"5' 4""",135 lbs.,"63""",Southpaw,"Jun 01, 1991",2.36,44%,6.06,38%,1.61,26%,20%,0.4
Ali AlQaisi,8-5-0,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 23, 1990",2.43,42%,1.97,56%,3.50,29%,60%,1.0
Rico Altamirano,4-3-0,"5' 10""",170 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Victor Altamirano,12-2-0,"5' 8""",125 lbs.,"70""",Switch,"Jan 23, 1991",6.15,58%,4.65,53%,2.47,23%,74%,0.0
Mike Altman,1-4-0,"5' 10""",185 lbs.,--,Orthodox,--,1.56,20%,2.08,75%,0.00,0%,0%,0.0
Patricia Alujas,9-2-0,--,115 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Sean Alvarez,4-3-0,"6' 0""",235 lbs.,--,Orthodox,"Jul 14, 1971",0.89,37%,3.25,47%,0.00,0%,0%,0.0
Eddie Alvarez,29-6-0 (1 NC),"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984",4.32,41%,4.39,55%,2.92,36%,92%,0.5
Jaime Alvarez,6-1-0,"5' 8""",125 lbs.,"69""",Orthodox,"Mar 08, 1988",2.73,40%,4.53,56%,1.00,33%,50%,0.0
Joel Alvarez,19-3-0,"6' 3""",155 lbs.,"77""",Orthodox,"Mar 02, 1993",3.44,44%,3.68,49%,0.00,0%,0%,1.2
Thiago Alves,23-15-0,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 03, 1983",3.73,41%,3.42,62%,0.71,60%,63%,0.3
Anthony Alves,1-4-0,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Amilcar Alves,15-12-0,"6' 0""",170 lbs.,--,Southpaw,"Aug 08, 1988",0.50,46%,2.02,30%,0.00,0%,53%,0.0
Warlley Alves,15-6-0,"5' 11""",170 lbs.,"72""",Orthodox,"Jan 04, 1991",3.21,47%,4.09,51%,1.37,50%,80%,0.9
Rafael Alves,20-12-0,"5' 8""",155 lbs.,"68""",Orthodox,"Nov 14, 1990",1.85,48%,3.30,58%,0.29,25%,44%,1.5
Sam Alvey,33-18-1 (1 NC),"6' 2""",185 lbs.,"75""",Southpaw,"May 06, 1986",3.28,44%,3.63,52%,0.06,14%,82%,0.1
Andre Amado,6-4-1,"6' 0""",154 lbs.,--,Orthodox,--,2.27,24%,5.91,63%,0.00,0%,20%,0.0
Adlan Amagov,14-2-1,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986",3.29,47%,0.82,78%,5.84,56%,100%,0.0
Maiara Amanajas dos Santos,7-3-0,"5' 5""",115 lbs.,--,Southpaw,"Jul 11, 1987",5.53,35%,24.47,33%,0.00,0%,100%,0.0
Rayanne Amanda,11-6-0,"5' 2""",115 lbs.,"62""",Orthodox,"Jun 08, 1995",3.67,31%,6.87,57%,1.00,25%,0%,0.0
Chris Amarante,2-0-0,--,185 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jimmy Ambriz,17-21-1,"6' 2""",315 lbs.,--,Southpaw,"Jan 26, 1970",0.83,29%,3.76,40%,3.13,57%,100%,0.8
JJ Ambrose,28-7-0 (2 NC),"5' 10""",170 lbs.,--,Orthodox,--,3.16,69%,6.32,33%,0.00,0%,50%,0.0
Alen Amedovski,8-4-0,"5' 10""",185 lbs.,"74""",Orthodox,"Apr 06, 1988",0.99,30%,3.85,46%,0.00,0%,0%,0.0
Makwan Amirkhani,17-9-0,"5' 10""",145 lbs.,"72""",Southpaw,"Nov 08, 1988",1.33,44%,2.98,46%,3.96,43%,35%,1.1
Jaqueline Amorim,6-1-0,"5' 3""",115 lbs.,"68""",Orthodox,"Jun 24, 1995",0.80,23%,3.07,55%,2.00,20%,0%,3.0
Bertrand Amoussou,1-1-0,"5' 8""",190 lbs.,--,Orthodox,--,6.75,39%,2.01,83%,0.00,0%,0%,0.0
Karl Amoussou,27-7-2,"5' 11""",185 lbs.,--,Orthodox,"Nov 21, 1985",1.47,34%,2.67,54%,0.00,0%,25%,1.0
Eryk Anders,15-7-0 (1 NC),"6' 1""",185 lbs.,"75""",Southpaw,"Apr 21, 1987",3.39,47%,4.22,50%,1.59,26%,79%,0.1
Matt Andersen,14-8-1,"6' 2""",230 lbs.,--,Southpaw,"May 29, 1971",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Andy Anderson,0-1-0,"5' 6""",240 lbs.,--,,"Jul 16, 1974",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Lowell Anderson,0-1-0,"5' 6""",160 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Corey Anderson,14-5-0,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",4.43,46%,2.22,59%,4.89,50%,83%,0.0
Derek Anderson,14-3-0 (1 NC),"6' 0""",155 lbs.,--,,"Feb 02, 1990",3.97,37%,3.08,61%,0.34,14%,60%,0.0
Megan Anderson,11-5-0,"6' 0""",145 lbs.,"72""",Orthodox,"Feb 11, 1990",1.76,46%,3.35,37%,0.52,25%,53%,0.5
Tatsuya Ando,13-3-1,--,135 lbs.,--,,"Apr 26, 1990",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Alex Andrade,10-5-0,"5' 11""",200 lbs.,--,Orthodox,"May 14, 1974",0.20,36%,2.60,53%,0.00,0%,25%,0.8
Jessica Andrade,24-11-0,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991",6.82,50%,5.40,54%,2.61,54%,73%,0.4
Viscardi Andrade,19-6-0,"5' 11""",170 lbs.,"75""",Orthodox,"Mar 08, 1984",3.26,42%,2.77,63%,1.93,50%,66%,0.3
Jermaine Andre,14-4-0,"5' 7""",200 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Juan Andres Luna,12-1-0,"5' 7""",125 lbs.,"72""",Orthodox,"Aug 20, 1995",3.27,31%,3.00,65%,0.00,0%,0%,0.0
Dylan Andrews,18-7-0 (1 NC),"6' 1""",185 lbs.,"74""",Switch,"Nov 15, 1979",2.21,50%,2.72,46%,2.83,50%,57%,0.4
Reese Andy,7-3-0,"6' 0""",205 lbs.,--,Orthodox,"Mar 31, 1973",2.87,50%,3.50,58%,0.67,20%,40%,0.0
 Angga,13-3-0,"5' 7""",145 lbs.,"68""",Orthodox,"Jan 13, 1989",3.56,38%,3.77,53%,0.00,0%,33%,0.0
Julius Anglickas,5-1-0,"6' 3""",205 lbs.,--,Orthodox,"Jul 23, 1991",4.62,78%,1.86,50%,4.47,50%,60%,1.1
Collin Anglin,8-3-0,"5' 9""",145 lbs.,"71""",Orthodox,"Feb 20, 1993",4.59,48%,5.54,51%,2.28,66%,100%,0.0
Chad Anheliger,12-6-0,"5' 6""",135 lbs.,"64""",Orthodox,"Dec 01, 1986",3.51,43%,3.31,55%,0.00,0%,47%,1.0
Yoji Anjo,0-5-1,"5' 11""",205 lbs.,--,Orthodox,"Mar 28, 1967",0.00,0%,3.13,25%,0.00,0%,0%,0.0
Magomed Ankalaev,18-1-1,"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992",3.55,52%,2.15,59%,0.99,29%,86%,0.0
Gadzhimurad Antigulov,20-8-0,"5' 11""",205 lbs.,"70""",Orthodox,"Feb 09, 1987",2.08,55%,4.21,40%,5.08,36%,0%,1.4
Adam Antolin,12-3-0,"5' 5""",125 lbs.,"63""",Orthodox,"Feb 28, 1982",5.73,52%,5.00,69%,0.00,0%,100%,0.0
Angelo Antonio,1-4-0,--,205 lbs.,--,Orthodox,--,1.09,50%,7.64,50%,0.00,0%,0%,0.0
Azunna Anyanwu,14-5-0,"6' 1""",251 lbs.,--,Orthodox,"Aug 05, 1981",2.47,42%,2.47,69%,0.65,100%,0%,0.0
Shinsho Anzai,10-3-0,"5' 7""",170 lbs.,"70""",Orthodox,"Dec 01, 1985",3.23,58%,3.75,45%,1.83,16%,75%,0.0
Shinya Aoki,39-7-0 (1 NC),"5' 11""",154 lbs.,--,Southpaw,"May 09, 1983",0.97,58%,1.25,58%,2.54,41%,60%,4.0
 Aoriqileng,24-9-0,"5' 7""",135 lbs.,"69""",Orthodox,"Jun 25, 1993",6.07,48%,7.18,48%,1.57,45%,55%,0.0
Josh Appelt,15-7-0,"5' 10""",255 lbs.,--,Southpaw,"Jun 19, 1983",1.35,40%,11.50,32%,0.00,0%,33%,0.0
Erik Apple,10-3-0,"6' 0""",170 lbs.,--,Orthodox,"Aug 26, 1977",0.00,0%,0.54,81%,0.00,0%,0%,8.1
Kenji Arai,15-15-5,"5' 10""",145 lbs.,--,Southpaw,"Oct 05, 1979",8.79,27%,10.29,39%,0.00,0%,0%,0.0
Romie Aram,7-1-0,"5' 10""",170 lbs.,--,Orthodox,"Dec 02, 1977",1.80,35%,2.83,50%,2.50,62%,83%,0.0
Felipe Arantes,18-10-1 (2 NC),"5' 8""",135 lbs.,"73""",Orthodox,"Feb 09, 1988",2.37,45%,2.66,64%,0.93,47%,41%,0.7
Igor Araujo,25-9-0 (1 NC),"6' 1""",170 lbs.,"77""",Orthodox,"Dec 06, 1980",1.52,42%,2.86,49%,0.86,15%,22%,0.6
Viviane Araujo,11-5-0,"5' 4""",125 lbs.,"68""",Orthodox,"Nov 21, 1986",4.63,47%,5.45,55%,1.81,48%,82%,0.6
Julio Arce,18-6-0,"5' 7""",135 lbs.,"70""",Southpaw,"Oct 27, 1989",4.38,36%,3.10,68%,0.49,30%,95%,0.4
Art Arciniega,15-7-0,"5' 8""",145 lbs.,--,,"Oct 15, 1981",1.53,46%,2.73,51%,0.00,0%,50%,1.0
Tristan Arenal,7-4-0,--,155 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Dan Argueta,9-1-0,"5' 7""",135 lbs.,"68""",Southpaw,"Aug 13, 1993",2.47,51%,1.53,52%,2.50,55%,50%,1.0
Reza Arianto,5-0-0,--,155 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Hashem Arkhagha,6-1-0,"6' 2""",185 lbs.,"75""",Orthodox,"Sep 11, 1989",1.84,44%,8.97,43%,0.00,0%,50%,0.0
Andrei Arlovski,34-21-0 (2 NC),"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",3.79,45%,3.20,57%,0.40,36%,76%,0.2
Garrett Armfield,8-3-0,"5' 6""",135 lbs.,"70""",Orthodox,"Oct 09, 1996",2.56,29%,3.53,59%,0.00,0%,66%,0.0
Joey Armstrong,5-2-0,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Austin Arnett,16-6-0,"6' 0""",145 lbs.,"72""",Orthodox,"Oct 22, 1991",4.52,41%,6.38,62%,0.44,18%,57%,0.2
Ricardo Arona,14-5-0,"5' 11""",205 lbs.,--,Orthodox,"Jul 17, 1978",1.66,48%,1.15,57%,2.41,48%,58%,1.2
Eli Aronov,6-0-0,--,185 lbs.,--,,"Jun 06, 1996",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Chalid Arrab,7-3-0,"5' 11""",205 lbs.,--,Orthodox,"May 28, 1975",1.56,34%,1.63,56%,3.05,75%,37%,1.0
Akbarh Arreola,23-11-1,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983",2.32,45%,4.01,56%,1.07,100%,33%,0.4
Matt Arroyo,3-3-0,"5' 10""",170 lbs.,"72""",Orthodox,"Sep 01, 1982",1.62,47%,2.01,58%,2.12,36%,100%,5.3
Antonio Arroyo,9-5-0,"6' 3""",185 lbs.,"73""",Orthodox,"Jul 01, 1989",2.82,66%,2.02,50%,1.14,41%,41%,0.2
Gilles Arsene,1-1-0,"5' 9""",190 lbs.,--,Southpaw,--,0.06,10%,2.45,32%,0.00,0%,0%,0.0
Veta Arteaga,3-1-0,"5' 7""",125 lbs.,--,,--,3.20,36%,1.92,65%,0.00,0%,40%,0.0
Cesar Arzamendia,8-3-0,"5' 11""",155 lbs.,--,Orthodox,"Jan 31, 1991",5.37,45%,5.20,56%,7.32,75%,0%,2.4
Teddy Ash,14-5-0,"6' 1""",185 lbs.,"73""",Switch,"Dec 27, 1989",7.27,61%,6.80,28%,0.00,0%,100%,0.0
Arman Ashimov,11-3-1,"5' 6""",125 lbs.,--,,"Jan 14, 1992",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Yanal Ashmouz,7-0-0,"5' 9""",155 lbs.,"68""",Orthodox,"Mar 31, 1995",12.00,75%,1.60,71%,12.00,100%,0%,0.0
 Asjabharan,7-6-0,"5' 6""",135 lbs.,--,,"Jul 31, 1992",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Askar Askar,11-1-0,"5' 7""",145 lbs.,"69""",Orthodox,"Aug 19, 1994",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Askar Askarov,14-1-1,"5' 6""",125 lbs.,"67""",Orthodox,"Oct 09, 1992",3.05,54%,2.80,57%,2.60,24%,66%,0.4
Cyril Asker,9-4-0,"6' 0""",247 lbs.,"74""",Orthodox,"Dec 24, 1985",3.35,39%,5.82,35%,4.41,62%,100%,0.9
Khusein Askhabov,23-1-0,"5' 8""",135 lbs.,"69""",Orthodox,"Feb 13, 1995",2.00,26%,4.13,56%,0.00,0%,66%,0.0
Scott Askham,14-4-0,"6' 3""",185 lbs.,"75""",Southpaw,"May 20, 1988",3.03,46%,3.52,52%,0.44,18%,65%,0.7
Ben Askren,19-2-0 (1 NC),"5' 11""",170 lbs.,"73""",Orthodox,"Jul 18, 1984",3.64,49%,5.66,36%,4.33,55%,0%,0.9
Ibo Aslan,8-0-0,"6' 3""",205 lbs.,--,,"Apr 23, 1996",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Tom Aspinall,12-3-0,"6' 5""",256 lbs.,"78""",Orthodox,"Apr 11, 1993",7.41,65%,2.87,64%,4.00,100%,100%,2.0
Bruno Assis,8-4-0,"6' 2""",185 lbs.,--,Orthodox,"May 23, 1992",1.27,43%,3.20,36%,2.00,50%,66%,1.0
