Name,Wins,Losses,Height,Weight,Reach,Stance,DOB,SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,URL
Kevin Aguilar,17,5,67.0,155.0,73.0,Orthodox,1988-09-07,3.96,0.4,4.81,0.52,0.16,0.16,0.78,0.0,http://ufcstats.com/fighter-details/cf946e03ba2e7666
Jesus Aguilar,8,2,64.0,125.0,62.0,Orthodox,1996-03-13,1.6,0.48,0.92,0.65,2.77,0.37,0.0,1.8,http://ufcstats.com/fighter-details/c051c2e12d692b8a
Christian Aguilera,14,8,69.0,170.0,72.0,Switch,1991-11-25,2.54,0.37,4.04,0.48,0.0,0.0,0.6,0.0,http://ufcstats.com/fighter-details/ae071698e1a3ccd4
Nick Aguirre,7,1,69.0,145.0,74.0,Southpaw,1996-01-15,0.93,0.31,3.13,0.44,0.0,0.0,0.33,1.0,http://ufcstats.com/fighter-details/0978385b2bd9ef9b
Mike Aina,14,6,69.0,155.0,,Orthodox,,2.87,0.33,6.33,0.59,0.0,0.0,0.71,0.0,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a
Ashiek Ajim,6,2,68.0,135.0,71.0,Switch,1994-06-19,5.0,0.4,11.25,0.25,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/49dea784f6cfed71
Hitomi Akano,18,10,64.0,135.0,,Southpaw,1974-07-27,0.59,0.45,2.58,0.55,0.0,0.0,0.08,0.5,http://ufcstats.com/fighter-details/2eada40ac8801559
Omari Akhmedov,21,6,72.0,185.0,73.0,Orthodox,1987-10-12,2.97,0.34,2.84,0.55,2.58,0.45,0.65,0.2,http://ufcstats.com/fighter-details/16690d100f995f8f
Yoshihiro Akiyama,14,6,70.0,170.0,75.0,Orthodox,1975-07-29,3.1,0.41,3.62,0.57,2.29,0.67,0.92,1.0,http://ufcstats.com/fighter-details/b0550072e5f0afa7
Rostem Akman,6,2,70.0,170.0,72.0,Switch,1991-12-19,1.8,0.25,3.97,0.57,1.0,0.4,0.87,0.0,http://ufcstats.com/fighter-details/1fc64507a0cb38cf
Razak Al-Hassan,13,5,74.0,205.0,,Orthodox,1982-05-14,3.27,0.39,3.14,0.6,0.65,0.14,0.57,0.0,http://ufcstats.com/fighter-details/38b50fd1e1b5b656
Mostapha Al-Turk,6,6,74.0,245.0,77.0,Orthodox,1973-07-14,1.36,0.19,3.61,0.53,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/1cf1310684a841f5
Herdem Alacabek,5,1,74.0,205.0,75.0,Orthodox,1991-06-07,3.84,0.65,6.66,0.23,2.06,0.5,0.42,0.0,http://ufcstats.com/fighter-details/7578cc6bd750206b
Javi Alanis,0,4,66.0,135.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/2144954270be834d
Alatengheili,16,8,65.0,135.0,66.0,Orthodox,1991-12-14,2.94,0.33,4.58,0.61,1.78,0.39,0.72,0.0,http://ufcstats.com/fighter-details/1897b7b913736a7c
Amir Albazi,16,1,65.0,125.0,68.0,Orthodox,1993-10-27,3.54,0.43,2.47,0.61,2.47,0.5,0.66,0.8,http://ufcstats.com/fighter-details/6d35bf94f7d30241
Brett Albee,3,2,,225.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/9b28292abe3166d5
John Albert,6,5,68.0,135.0,68.0,Orthodox,1986-10-13,3.05,0.49,2.82,0.35,0.0,0.0,0.5,6.1,http://ufcstats.com/fighter-details/7bd94b60d7521e4a
Junior Albini,14,6,75.0,264.0,74.0,Orthodox,1991-03-15,3.98,0.51,6.08,0.52,1.54,0.37,1.0,0.0,http://ufcstats.com/fighter-details/c482c8605455a213
Wes Albritton,0,1,70.0,188.0,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/184b955181bdef52
Aleksandra Albu,3,2,62.0,115.0,63.0,Orthodox,1990-07-14,4.83,0.47,5.56,0.38,2.27,0.5,0.77,0.4,http://ufcstats.com/fighter-details/e76d9f656ceb82ab
Israel Albuquerque,0,3,,185.0,,Orthodox,,0.32,0.13,3.34,0.25,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/dd1b90eea08887f6
Juan Alcain,1,2,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/39f62b833e4cf126
Iuri Alcantara,35,10,69.0,135.0,71.0,Southpaw,1980-08-04,2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad
Ildemar Alcantara,21,11,74.0,185.0,78.0,Orthodox,1982-11-18,1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9,http://ufcstats.com/fighter-details/7c6e87729e824ef4
Alfonso Alcarez,1,3,63.0,145.0,,,1970-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/1e38bba6738b7b10
Gilbert Aldana,6,2,73.0,250.0,,Orthodox,1977-08-25,2.91,0.54,6.26,0.26,2.57,0.4,0.33,0.0,http://ufcstats.com/fighter-details/d26934530dc5b248
Irene Aldana,14,6,69.0,135.0,68.0,Orthodox,1988-03-26,5.39,0.39,5.71,0.6,0.2,0.5,0.81,0.3,http://ufcstats.com/fighter-details/578ef12674df1e6a
Hector Aldana,4,3,71.0,170.0,72.0,Orthodox,1988-08-17,3.59,0.38,5.08,0.59,0.93,1.0,0.0,0.0,http://ufcstats.com/fighter-details/c487223b0289bda9
Jose Alday,14,6,67.0,135.0,68.0,Orthodox,1991-09-14,3.13,0.44,3.13,0.58,0.0,0.0,0.57,0.0,http://ufcstats.com/fighter-details/7460ddef986d3144
Jose Aldo,31,8,67.0,135.0,70.0,Orthodox,1986-09-09,3.57,0.46,3.74,0.6,0.49,0.54,0.91,0.1,http://ufcstats.com/fighter-details/d0f3959b4a9747e6
JJ Aldrich,11,6,65.0,125.0,67.0,Southpaw,1992-09-29,3.98,0.45,4.74,0.59,0.82,0.25,0.7,0.0,http://ufcstats.com/fighter-details/6fd953151d981979
Irina Alekseeva,4,1,68.0,135.0,,,1990-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/103e2e33a60683e1
Jim Alers,13,3,69.0,145.0,71.0,Orthodox,1986-10-14,2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3,http://ufcstats.com/fighter-details/fe5a9547479396ab
John Alessio,35,17,70.0,155.0,72.0,Orthodox,1979-07-05,2.1,0.39,2.91,0.54,1.85,0.38,0.7,1.2,http://ufcstats.com/fighter-details/7a15f3694c5cbc02
Houston Alexander,17,15,72.0,205.0,72.0,Orthodox,1972-03-22,3.06,0.54,3.2,0.52,1.19,0.57,0.33,0.0,http://ufcstats.com/fighter-details/0541480fbf719d86
Kenneth Alexander,7,6,69.0,155.0,,Orthodox,1977-09-25,0.88,0.19,2.2,0.66,4.71,0.26,0.0,0.0,http://ufcstats.com/fighter-details/8fd76e1b49c00ae2
Lucas Alexander,7,3,71.0,145.0,73.0,Orthodox,1995-07-28,0.49,0.5,1.97,0.5,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/11583163f45c7b31
Marcio Alexandre Junior,17,4,72.0,185.0,75.0,Southpaw,1989-05-05,1.61,0.45,2.89,0.42,0.35,0.2,0.66,0.7,http://ufcstats.com/fighter-details/d53482bef23235ba
Olaf Alfonso,8,12,74.0,170.0,,Orthodox,1974-08-06,1.65,0.38,4.77,0.53,0.37,0.07,0.22,0.7,http://ufcstats.com/fighter-details/b757c73f443d4fca
Pablo Alfonso,9,7,68.0,145.0,,,1983-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1
Levi Alford,1,7,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/41b34b7f11f6d085
Bill Algeo,16,7,72.0,145.0,73.0,Switch,1989-06-09,5.68,0.53,4.14,0.46,0.77,0.38,0.55,0.0,http://ufcstats.com/fighter-details/9abc648e76c4493a
Royce Alger,3,2,70.0,199.0,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/669a3cb6e394f515
Amir Aliakbari,10,1,75.0,250.0,,,1984-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/e17770faae3ca54c
Sultan Aliev,15,3,71.0,170.0,74.0,Orthodox,1984-09-17,1.41,0.45,2.2,0.56,1.76,0.38,1.0,0.0,http://ufcstats.com/fighter-details/e70de1859b7ee78e
Nurullo Aliev,9,0,70.0,155.0,72.0,Orthodox,2000-12-08,2.5,0.51,0.46,0.59,3.06,0.44,0.0,0.0,http://ufcstats.com/fighter-details/ca28cdf526d6b6e9
Ikram Aliskerov,13,1,72.0,185.0,76.0,Southpaw,1992-12-07,3.26,0.58,7.91,0.41,6.98,0.33,0.0,7.0,http://ufcstats.com/fighter-details/b07aed698fba8624
Leon Aliu,10,2,72.0,185.0,74.0,Orthodox,1989-07-14,6.32,0.5,10.11,0.38,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/6db394bf6c3b017c
John Allan,13,7,73.0,205.0,75.0,Orthodox,1993-02-22,3.56,0.42,5.74,0.52,1.4,0.71,0.5,0.8,http://ufcstats.com/fighter-details/6ebe96a116e79e52
George Allen,13,19,74.0,205.0,,Open Stance,1967-01-13,0.8,0.38,3.1,0.43,0.0,0.0,0.5,0.0,http://ufcstats.com/fighter-details/1e13936d708bcff7
Arnold Allen,19,1,68.0,145.0,70.0,Southpaw,1994-01-22,3.4,0.42,2.25,0.67,1.35,0.5,0.76,0.4,http://ufcstats.com/fighter-details/040a74bb0a465c54
Brendan Allen,21,5,74.0,185.0,75.0,Orthodox,1995-12-28,3.85,0.53,3.87,0.46,1.27,0.47,0.55,1.6,http://ufcstats.com/fighter-details/2f181c0467965b98
Ben Alloway,18,8,71.0,170.0,76.0,Orthodox,1981-02-19,1.28,0.49,1.9,0.59,0.62,0.5,0.26,0.0,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb
Ricardo Almeida,13,5,72.0,170.0,74.0,Orthodox,1976-11-29,2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2,http://ufcstats.com/fighter-details/91186547a7f3f758
Magno Almeida,10,3,72.0,155.0,,,1985-06-06,1.67,0.36,2.6,0.41,0.0,0.0,0.4,5.0,http://ufcstats.com/fighter-details/d615d6a10a4704cd
Thomas Almeida,22,5,67.0,145.0,70.0,Southpaw,1991-07-31,4.84,0.43,4.93,0.61,0.17,0.14,0.75,0.0,http://ufcstats.com/fighter-details/2b074403b7c6cdb4
Ericka Almeida,7,3,66.0,115.0,,Orthodox,1989-03-05,1.07,0.39,3.33,0.43,0.5,0.33,0.37,0.0,http://ufcstats.com/fighter-details/67a992d4cff22466
Estefani Almeida,7,3,64.0,125.0,,Orthodox,1988-10-17,3.13,0.37,6.07,0.42,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/f16ddfa31236efed
Jailton Almeida,18,2,75.0,205.0,79.0,Orthodox,1991-06-26,4.19,0.64,0.34,0.1,6.73,0.7,0.5,2.2,http://ufcstats.com/fighter-details/41e83a89929d1327
Lucas Almeida,14,1,71.0,145.0,71.0,Orthodox,1991-01-31,6.6,0.47,5.63,0.48,0.0,0.0,0.5,0.0,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41
Mauricio Alonso,13,7,74.0,170.0,,,1980-02-27,5.74,0.34,1.91,0.67,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/c6bf75775b278ed8
Sarah Alpar,9,6,64.0,135.0,63.0,Southpaw,1991-06-01,2.36,0.44,6.06,0.38,1.61,0.26,0.2,0.4,http://ufcstats.com/fighter-details/49b130de1da2e1bf
Ali AlQaisi,8,5,66.0,135.0,68.0,Orthodox,1990-09-23,2.43,0.42,1.97,0.56,3.5,0.29,0.6,1.0,http://ufcstats.com/fighter-details/e87a13e02c01331d
Rico Altamirano,4,3,70.0,170.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/c61b49cec6abd6b9
Victor Altamirano,11,2,68.0,125.0,70.0,Switch,1991-01-23,7.04,0.6,5.32,0.5,2.23,0.41,0.72,0.0,http://ufcstats.com/fighter-details/dc7927cd622676a7
Mike Altman,1,4,70.0,185.0,,Orthodox,,1.56,0.2,2.08,0.75,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/c11036da9162cb5f
Sean Alvarez,4,3,72.0,235.0,,Orthodox,1971-07-14,0.89,0.37,3.25,0.47,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/e741536153227386
Eddie Alvarez,29,6,69.0,155.0,69.0,Orthodox,1984-01-11,4.32,0.41,4.39,0.55,2.92,0.36,0.92,0.5,http://ufcstats.com/fighter-details/33a331684283900f
Jaime Alvarez,6,1,68.0,125.0,69.0,Orthodox,1988-03-08,2.73,0.4,4.53,0.56,1.0,0.33,0.5,0.0,http://ufcstats.com/fighter-details/4438482bd1d5a029
Joel Alvarez,19,3,75.0,155.0,77.0,Orthodox,1993-03-02,3.44,0.44,3.68,0.49,0.0,0.0,0.0,1.2,http://ufcstats.com/fighter-details/58bbef3770bb2dfc
Thiago Alves,23,15,69.0,170.0,70.0,Orthodox,1983-10-03,3.73,0.41,3.42,0.62,0.71,0.6,0.63,0.3,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f
Anthony Alves,1,4,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/bd92cf5da5413d2a
Amilcar Alves,15,12,72.0,170.0,,Southpaw,1988-08-08,0.5,0.46,2.02,0.3,0.0,0.0,0.53,0.0,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc
Warlley Alves,15,6,71.0,170.0,72.0,Orthodox,1991-01-04,3.21,0.47,4.09,0.51,1.37,0.5,0.8,0.9,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f
Rafael Alves,20,12,68.0,155.0,68.0,Orthodox,1990-11-14,1.85,0.48,3.3,0.58,0.29,0.25,0.44,1.5,http://ufcstats.com/fighter-details/029afd138865d20a
Sam Alvey,33,18,74.0,185.0,75.0,Southpaw,1986-05-06,3.28,0.44,3.63,0.52,0.06,0.14,0.82,0.1,http://ufcstats.com/fighter-details/d156513a19acf856
Andre Amado,6,4,72.0,154.0,,Orthodox,,2.27,0.24,5.91,0.63,0.0,0.0,0.2,0.0,http://ufcstats.com/fighter-details/20821819c401ced8
Adlan Amagov,14,2,74.0,170.0,76.0,Orthodox,1986-10-30,3.29,0.47,0.82,0.78,5.84,0.56,1.0,0.0,http://ufcstats.com/fighter-details/1e327b281ef6a745
Maiara Amanajas dos Santos,7,3,65.0,115.0,,Southpaw,1987-07-11,5.53,0.35,24.47,0.33,0.0,0.0,1.0,0.0,http://ufcstats.com/fighter-details/247fbbfafea60bb1
Rayanne Amanda,11,6,62.0,115.0,62.0,Orthodox,1995-06-08,3.67,0.31,6.87,0.57,1.0,0.25,0.0,0.0,http://ufcstats.com/fighter-details/02bb48869eb7ac8f
Chris Amarante,2,0,,185.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/ee0b69e307c857e5
Jimmy Ambriz,17,21,74.0,315.0,,Southpaw,1970-01-26,0.83,0.29,3.76,0.4,3.13,0.57,1.0,0.8,http://ufcstats.com/fighter-details/c912f676692c353a
JJ Ambrose,28,7,70.0,170.0,,Orthodox,,3.16,0.69,6.32,0.33,0.0,0.0,0.5,0.0,http://ufcstats.com/fighter-details/d562b12b8fe88336
Alen Amedovski,8,4,70.0,185.0,74.0,Orthodox,1988-04-06,0.99,0.3,3.85,0.46,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/70fa1c64a2c439ef
Makwan Amirkhani,17,8,70.0,145.0,72.0,Southpaw,1988-11-08,1.35,0.44,2.98,0.46,4.15,0.43,0.38,1.1,http://ufcstats.com/fighter-details/87a1dc546b1c5caf
Jaqueline Amorim,6,0,63.0,115.0,,,1995-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08
Bertrand Amoussou,1,1,68.0,190.0,,Orthodox,,6.75,0.39,2.01,0.83,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/53adf5b845d91e4a
Karl Amoussou,27,7,71.0,185.0,,Orthodox,1985-11-21,1.47,0.34,2.67,0.54,0.0,0.0,0.25,1.0,http://ufcstats.com/fighter-details/23a8c33869bf5392
Eryk Anders,15,7,73.0,185.0,75.0,Southpaw,1987-04-21,3.39,0.47,4.22,0.5,1.59,0.26,0.79,0.1,http://ufcstats.com/fighter-details/cad24459b28592ca
Matt Andersen,14,8,74.0,230.0,,Southpaw,1971-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/8738eacd62e82a32
Andy Anderson,0,1,66.0,240.0,,,1974-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/9199e0735b83dd32
Lowell Anderson,0,1,66.0,160.0,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/1ffc38f67785797b
Corey Anderson,14,5,75.0,205.0,79.0,Orthodox,1989-09-22,4.43,0.46,2.22,0.59,4.89,0.5,0.83,0.0,http://ufcstats.com/fighter-details/5e4eec08896c9423
Derek Anderson,14,3,72.0,155.0,,,1990-02-02,3.97,0.37,3.08,0.61,0.34,0.14,0.6,0.0,http://ufcstats.com/fighter-details/19ba965651486013
Megan Anderson,11,5,72.0,145.0,72.0,Orthodox,1990-02-11,1.76,0.46,3.35,0.37,0.52,0.25,0.53,0.5,http://ufcstats.com/fighter-details/a0e75f4a13eb73f1
Tatsuya Ando,13,3,,135.0,,,1990-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/17615148dd4be6f6
Alex Andrade,10,5,71.0,200.0,,Orthodox,1974-05-14,0.2,0.36,2.6,0.53,0.0,0.0,0.25,0.8,http://ufcstats.com/fighter-details/1562b12763cc8d67
Jessica Andrade,24,10,61.0,125.0,62.0,Orthodox,1991-09-25,6.84,0.51,5.34,0.54,2.64,0.54,0.73,0.4,http://ufcstats.com/fighter-details/6a1901c62ab3870f
Viscardi Andrade,19,6,71.0,170.0,75.0,Orthodox,1984-03-08,3.26,0.42,2.77,0.63,1.93,0.5,0.66,0.3,http://ufcstats.com/fighter-details/d221ee27afc7a60e
Jermaine Andre,14,4,67.0,200.0,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/9bad58fa651d6196
Juan Andres Luna,12,1,67.0,125.0,72.0,Orthodox,1995-08-20,3.27,0.31,3.0,0.65,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/1fd9f744105024a8
Dylan Andrews,18,7,73.0,185.0,74.0,Switch,1979-11-15,2.21,0.5,2.72,0.46,2.83,0.5,0.57,0.4,http://ufcstats.com/fighter-details/00debc804e2b1cd4
Reese Andy,7,3,72.0,205.0,,Orthodox,1973-03-31,2.87,0.5,3.5,0.58,0.67,0.2,0.4,0.0,http://ufcstats.com/fighter-details/46e2ca71fd5089cb
Angga,13,3,67.0,145.0,68.0,Orthodox,1989-01-13,3.56,0.38,3.77,0.53,0.0,0.0,0.33,0.0,http://ufcstats.com/fighter-details/d6a3e131ad4ba064
Julius Anglickas,5,1,75.0,205.0,,Orthodox,1991-07-23,4.62,0.78,1.86,0.5,4.47,0.5,0.6,1.1,http://ufcstats.com/fighter-details/e20ad078a7d63361
Collin Anglin,8,3,69.0,145.0,71.0,Orthodox,1993-02-20,4.59,0.48,5.54,0.51,2.28,0.66,1.0,0.0,http://ufcstats.com/fighter-details/047a91d3d9c79b05
Chad Anheliger,12,6,66.0,135.0,64.0,Orthodox,1986-12-01,3.51,0.43,3.31,0.55,0.0,0.0,0.47,1.0,http://ufcstats.com/fighter-details/c7c39e2fb70248b3
Yoji Anjo,0,5,71.0,205.0,,Orthodox,1967-03-28,0.0,0.0,3.13,0.25,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/e06fd1260ac865a7
Magomed Ankalaev,18,1,75.0,205.0,75.0,Orthodox,1992-06-02,3.55,0.52,2.15,0.59,0.99,0.29,0.86,0.0,http://ufcstats.com/fighter-details/d802174b0c0c1f4e
Gadzhimurad Antigulov,20,8,71.0,205.0,70.0,Orthodox,1987-02-09,2.08,0.55,4.21,0.4,5.08,0.36,0.0,1.4,http://ufcstats.com/fighter-details/af997f7611673880
Adam Antolin,12,3,65.0,125.0,63.0,Orthodox,1982-02-28,5.73,0.52,5.0,0.69,0.0,0.0,1.0,0.0,http://ufcstats.com/fighter-details/25b31165758402dd
Angelo Antonio,1,4,,205.0,,Orthodox,,1.09,0.5,7.64,0.5,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/dbd198f780286aca
Azunna Anyanwu,14,5,73.0,251.0,,Orthodox,1981-08-05,2.47,0.42,2.47,0.69,0.65,1.0,0.0,0.0,http://ufcstats.com/fighter-details/78d48d3874dacafd
Shinsho Anzai,10,3,67.0,170.0,70.0,Orthodox,1985-12-01,3.23,0.58,3.75,0.45,1.83,0.16,0.75,0.0,http://ufcstats.com/fighter-details/4665f9f909cd7214
Shinya Aoki,39,7,71.0,154.0,,Southpaw,1983-05-09,0.97,0.58,1.25,0.58,2.54,0.41,0.6,4.0,http://ufcstats.com/fighter-details/79ded75550efc139
Aoriqileng,24,9,67.0,135.0,69.0,Orthodox,1993-06-25,6.07,0.48,7.18,0.48,1.57,0.45,0.55,0.0,http://ufcstats.com/fighter-details/7d420039bbfe7c1a
Josh Appelt,15,7,70.0,255.0,,Southpaw,1983-06-19,1.35,0.4,11.5,0.32,0.0,0.0,0.33,0.0,http://ufcstats.com/fighter-details/0c1a04afca64e38f
Erik Apple,10,3,72.0,170.0,,Orthodox,1977-08-26,0.0,0.0,0.54,0.81,0.0,0.0,0.0,8.1,http://ufcstats.com/fighter-details/1ccff7f0cfdf85eb
Kenji Arai,15,15,70.0,145.0,,Southpaw,1979-10-05,8.79,0.27,10.29,0.39,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/269d103c96a4c3a5
Romie Aram,7,1,70.0,170.0,,Orthodox,1977-12-02,1.8,0.35,2.83,0.5,2.5,0.62,0.83,0.0,http://ufcstats.com/fighter-details/73ef22f25d0f70e2
